team,home_games,away_games,home_per,away_per,total wins,win percent,actual wins,error,actual home wins,actual away wins,home error,away error,uncertainty_upper,uncertainty_lower,division,Absolute Error,overall standing,division standing,projected overall standing,projected division standing
Giants,81,78,45.5325811693556,39.3085509375203,86.4419081843641,0.533592025829408,76,10.4419081843641,42,34,3.5325811693556,5.3085509375203,92.8419081843641,80.04190818436409,Nl West,10.0,18,3,5,1
Dodgers,81,81,46.2380085389502,39.6815122203772,85.9195207593274,0.530367412094614,92,6.0804792406726,47,45,0.761991461049803,5.3184877796228,92.3195207593274,79.51952075932739,Nl West,6.0,9,1,7,2
Diamondbacks,81,81,42.8829527317722,37.9992753424316,80.8822280742038,0.499273012803727,81,0.117771925796205,45,36,2.1170472682278,1.9992753424316,87.2822280742038,74.48222807420379,Nl West,0.0,16,2,16,3
Rockies,81,81,44.8835822379153,35.2243583211379,80.1079405590532,0.494493460241069,74,6.10794055905319,45,29,0.116417762084701,6.2243583211379,86.50794055905321,73.7079405590532,Nl West,6.0,21,5,17,4
Padres,77,80,39.2680332388887,33.3571346607055,74.938071335887,0.462580687258562,76,1.06192866411298,45,31,5.7319667611113,2.3571346607055,81.33807133588701,68.538071335887,Nl West,1.0,19,4,26,5
Nationals,78,78,43.0722042009069,37.7114708155043,83.8907394401193,0.517844070618021,86,2.10926055988068,47,39,3.9277957990931,1.2885291844957,90.29073944011931,77.4907394401193,Nl East,2.0,13,2,8,1
Phillies,79,78,41.9136601233836,37.5260076579634,81.9695935068676,0.505985145104121,73,8.9695935068676,43,30,1.0863398766164,7.5260076579634,88.3695935068676,75.56959350686759,Nl East,9.0,24,4,14,2
Mets,65,67,34.6218260530646,30.2767908089368,79.6483025124563,0.491656188348496,74,5.64830251245627,33,41,1.6218260530646,10.7232091910632,86.0483025124563,73.24830251245629,Nl East,6.0,23,3,18,3
Braves,79,80,42.7022023078362,35.2398241790264,79.4126307601996,0.490201424445677,96,16.5873692398004,56,40,13.2977976921638,4.7601758209736,85.81263076019961,73.0126307601996,Nl East,17.0,4,1,19,4
Marlins,81,78,37.8966433676974,33.0575917016696,72.2929942216192,0.446253050750736,62,10.2929942216192,36,26,1.8966433676974,7.0575917016696,78.6929942216192,65.89299422161919,Nl East,10.0,29,5,30,5
Cardinals,81,81,47.2630203810362,42.634988929038,89.8980093100742,0.55492598339552,97,7.1019906899258,54,43,6.7369796189638,0.365011070961998,96.2980093100742,83.4980093100742,Nl Central,7.0,2,1,1,1
Reds,79,80,45.412427433875,42.2195232099042,89.2853836747939,0.551144343671567,90,0.714616325206094,49,41,3.587572566125,1.2195232099042,95.68538367479391,82.8853836747939,Nl Central,1.0,11,3,3,2
Pirates,81,81,43.5369968249435,35.8697976627522,79.4067944876957,0.490165398072196,94,14.5932055123043,50,44,6.4630031750565,8.1302023372478,85.80679448769571,73.0067944876957,Nl Central,15.0,5,2,20,3
Brewers,80,79,40.8794440273488,33.9961115240847,76.2883018825926,0.470915443719708,74,2.28830188259262,37,37,3.8794440273488,3.0038884759153,82.68830188259261,69.8883018825926,Nl Central,2.0,20,4,24,4
Cubs,81,81,40.4169833704367,33.2886156783068,73.7055990487435,0.454972833634219,66,7.70559904874349,31,35,9.4169833704367,1.7113843216932,80.1055990487435,67.30559904874349,Nl Central,8.0,26,5,28,5
Angels,81,81,45.1415642786619,41.1526583198876,86.2942225985495,0.532680386410799,78,8.29422259854951,39,39,6.1415642786619,2.1526583198876,92.6942225985495,79.89422259854949,Al West,8.0,17,3,6,1
Rangers,81,80,45.0251821848443,38.3305880929229,83.8735079813558,0.517737703588616,91,7.12649201864419,46,45,0.974817815155703,6.6694119070771,90.2735079813558,77.4735079813558,Al West,7.0,10,2,9,2
Mariners,81,81,40.9727701640768,36.8352421924479,77.8080123565247,0.48029637257114,71,6.8080123565247,36,35,4.9727701640768,1.8352421924479,84.2080123565247,71.4080123565247,Al West,7.0,25,4,22,3
Athletics,81,81,40.0172748330865,34.9569610438474,74.9742358769339,0.462803925166259,96,21.0257641230661,52,44,11.9827251669135,9.0430389561526,81.37423587693391,68.5742358769339,Al West,21.0,3,1,25,4
Astros,80,81,40.8854824280745,33.285343076456,74.6315138617015,0.460688357170997,51,23.6315138617015,24,27,16.8854824280745,6.285343076456,81.03151386170151,68.2315138617015,Al West,24.0,30,5,27,5
Red Sox,81,81,47.0729149890768,40.8090413913018,87.8819563803786,0.542481212224559,97,9.1180436196214,53,44,5.9270850109232,3.1909586086982,94.2819563803786,81.48195638037859,Al East,9.0,1,1,4,1
Blue Jays,81,81,45.0552779369944,37.6745806919348,82.7298586289292,0.510678139684748,74,8.72985862892921,40,34,5.0552779369944,3.6745806919348,89.1298586289292,76.32985862892919,Al East,9.0,22,5,11,2
Rays,81,81,46.2141343365696,36.1907467805018,82.4048811170714,0.508672105660935,92,9.5951188829286,51,41,4.7858656634304,4.8092532194982,88.8048811170714,76.00488111707139,Al East,10.0,8,2,12,3
Yankees,81,81,45.6335001462466,36.6517928136061,82.2852929598527,0.507933907159585,85,2.7147070401473,46,39,0.366499853753403,2.3482071863939,88.6852929598527,75.88529295985269,Al East,3.0,14,3,13,4
Orioles,81,81,41.7133233616645,35.3250676583064,77.0383910199709,0.475545623580067,85,7.9616089800291,46,39,4.2866766383355,3.6749323416936,83.43839101997091,70.6383910199709,Al East,8.0,15,4,23,5
Tigers,81,79,51.3262118827748,37.1242771994992,89.5561201958024,0.552815556764213,93,3.44387980419756,51,42,0.3262118827748,4.8757228005008,95.9561201958024,83.15612019580239,Al Central,3.0,6,1,2,1
White Sox,81,81,46.3198478622479,36.8360840825673,83.1559319448152,0.513308221881575,63,20.1559319448152,37,26,9.3198478622479,10.8360840825673,89.5559319448152,76.75593194481519,Al Central,20.0,28,5,10,2
Indians,79,81,44.6686706282236,35.3717195527921,81.0408950582784,0.500252438631348,92,10.9591049417216,51,41,6.3313293717764,5.6282804472079,87.4408950582784,74.64089505827839,Al Central,11.0,7,2,15,3
Royals,81,81,43.1602326268698,35.1839423214589,78.3441749483287,0.48360601819956,86,7.6558250516713,44,42,0.839767373130201,6.8160576785411,84.7441749483287,71.9441749483287,Al Central,8.0,12,3,21,4
Twins,80,81,40.9609305886476,32.1925168776402,73.6078167052088,0.454369238921042,66,7.60781670520885,32,34,8.9609305886476,1.8074831223598,80.00781670520881,67.2078167052088,Al Central,8.0,27,4,29,5
